ts,cell_id,throughput,latency,jitter,packet_loss,cell_load,is_anomaly,source,ingested_at
2026-07-29 00:15:33.031036+00:00,cell_001,149.18,14.59,3.11,0.29,21.9,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:16:33.031036+00:00,cell_001,147.72,14.99,2.86,0.39,29.78,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:17:33.031036+00:00,cell_001,153.45,14.3,3.72,0.36,24.52,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:18:33.031036+00:00,cell_001,149.34,14.81,3.77,0.46,28.16,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:19:33.031036+00:00,cell_001,148.54,14.86,3.8,0.61,33.11,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:20:33.031036+00:00,cell_001,148.79,13.04,3.2,0.71,30.21,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:21:33.031036+00:00,cell_001,151.47,14.2,3.76,0.61,33.98,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:22:33.031036+00:00,cell_001,150.99,13.41,3.5,0.26,36.6,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:23:33.031036+00:00,cell_001,151.15,14.23,3.13,0.43,49.11,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:24:33.031036+00:00,cell_001,151.22,13.84,3.19,0.47,34.97,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:25:33.031036+00:00,cell_001,156.38,15.65,3.32,0.51,33.42,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:26:33.031036+00:00,cell_001,148.75,15.65,3.4,0.55,27.11,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:27:33.031036+00:00,cell_001,148.45,15.19,3.48,0.47,34.83,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:28:33.031036+00:00,cell_001,147.56,13.36,3.37,0.43,38.16,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:29:33.031036+00:00,cell_001,151.87,14.53,3.27,0.63,26.94,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:30:33.031036+00:00,cell_001,153.42,13.28,3.78,0.42,27.5,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:31:33.031036+00:00,cell_001,149.71,14.47,3.34,0.64,27.04,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:32:33.031036+00:00,cell_001,147.55,15.27,3.32,0.61,23.65,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:33:33.031036+00:00,cell_001,147.61,15.61,3.3,0.74,30.16,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:34:33.031036+00:00,cell_001,152.05,15.09,3.33,0.49,23.49,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:35:33.031036+00:00,cell_001,152.34,15.87,2.96,0.74,29.71,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:36:33.031036+00:00,cell_001,151.75,14.87,3.07,0.39,31.79,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:37:33.031036+00:00,cell_001,148.14,14.38,4.1,0.52,31.59,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:38:33.031036+00:00,cell_001,150.84,15.48,2.87,0.6,27.68,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:39:33.031036+00:00,cell_001,150.51,15.51,3.45,0.25,22.4,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:40:33.031036+00:00,cell_001,150.83,14.08,3.47,0.37,36.23,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:41:33.031036+00:00,cell_001,152.8,14.98,3.67,0.32,21.28,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:42:33.031036+00:00,cell_001,150.86,14.31,3.47,0.44,30.7,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:43:33.031036+00:00,cell_001,152.24,12.59,3.93,0.34,37.52,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:44:33.031036+00:00,cell_001,150.41,15.04,3.44,0.47,30.54,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:45:33.031036+00:00,cell_001,151.09,13.31,3.77,0.43,36.47,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:46:33.031036+00:00,cell_001,152.12,14.93,3.68,0.39,32.61,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:47:33.031036+00:00,cell_001,145.86,13.06,3.83,0.48,23.09,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:48:33.031036+00:00,cell_001,149.28,13.88,3.37,0.31,36.61,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:49:33.031036+00:00,cell_001,148.83,14.16,3.48,0.28,27.09,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:50:33.031036+00:00,cell_001,148.33,15.8,3.25,0.21,27.89,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:51:33.031036+00:00,cell_001,149.43,14.06,3.41,0.09,33.45,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:52:33.031036+00:00,cell_001,154.75,13.52,3.43,0.31,25.28,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:53:33.031036+00:00,cell_001,147.67,14.96,2.74,0.56,34.72,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:54:33.031036+00:00,cell_001,153.17,14.38,3.32,0.41,32.12,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:55:33.031036+00:00,cell_001,145.22,15.38,3.63,0.45,38.28,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:56:33.031036+00:00,cell_001,149.27,13.58,2.96,0.37,35.74,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:57:33.031036+00:00,cell_001,150.76,14.8,3.07,0.84,28.98,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:58:33.031036+00:00,cell_001,152.04,17.06,3.71,0.48,27.92,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:59:33.031036+00:00,cell_001,152.41,14.35,3.76,0.34,26.34,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:00:33.031036+00:00,cell_001,152.66,14.78,3.18,0.24,28.75,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:01:33.031036+00:00,cell_001,149.23,12.93,3.41,0.79,25.49,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:02:33.031036+00:00,cell_001,148.89,13.74,3.34,0.17,28.46,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:03:33.031036+00:00,cell_001,152.85,15.05,3.71,0.29,23.68,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:04:33.031036+00:00,cell_001,149.7,14.26,3.2,0.29,25.13,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:05:33.031036+00:00,cell_001,146.44,15.21,3.25,0.44,36.85,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:06:33.031036+00:00,cell_001,146.87,15.02,3.76,0.52,23.31,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:07:33.031036+00:00,cell_001,147.51,13.28,3.06,0.46,22.87,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:08:33.031036+00:00,cell_001,151.75,15.61,3.21,0.38,26.39,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:09:33.031036+00:00,cell_001,150.68,13.35,3.4,0.17,36.85,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:10:33.031036+00:00,cell_001,152.32,13.83,3.82,0.82,25.33,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:11:33.031036+00:00,cell_001,148.96,14.83,3.0,0.5,28.5,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:12:33.031036+00:00,cell_001,150.72,16.16,3.15,0.56,31.45,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:13:33.031036+00:00,cell_001,152.11,13.59,3.54,0.32,32.68,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:14:33.031036+00:00,cell_001,149.3,14.75,3.59,0.39,29.51,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:15:33.031036+00:00,cell_001,151.59,14.76,3.43,0.68,32.01,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:16:33.031036+00:00,cell_001,148.22,15.26,3.33,0.01,34.9,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:17:33.031036+00:00,cell_001,149.11,15.79,3.4,0.6,23.65,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:18:33.031036+00:00,cell_001,149.05,14.2,2.91,0.4,26.69,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:19:33.031036+00:00,cell_001,146.59,15.62,3.4,0.53,25.91,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:20:33.031036+00:00,cell_001,151.63,15.94,3.81,0.78,28.28,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:21:33.031036+00:00,cell_001,148.75,16.39,2.97,0.36,36.35,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:22:33.031036+00:00,cell_001,150.19,15.11,3.13,0.0,35.02,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:23:33.031036+00:00,cell_001,151.58,14.77,3.25,0.23,29.74,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:24:33.031036+00:00,cell_001,151.46,14.14,3.27,0.45,34.21,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:25:33.031036+00:00,cell_001,152.11,13.15,3.92,0.78,40.79,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:26:33.031036+00:00,cell_001,149.8,14.34,3.09,0.37,23.99,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:27:33.031036+00:00,cell_001,148.81,14.73,3.03,0.76,26.92,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:28:33.031036+00:00,cell_001,149.83,14.51,3.6,0.0,28.9,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:29:33.031036+00:00,cell_001,144.99,15.22,3.18,0.35,32.16,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:30:33.031036+00:00,cell_001,145.7,13.17,3.61,0.66,32.88,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:31:33.031036+00:00,cell_001,146.05,14.44,3.31,0.64,25.01,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:32:33.031036+00:00,cell_001,147.01,16.62,3.51,0.06,31.23,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:33:33.031036+00:00,cell_001,151.19,15.62,2.9,0.28,34.59,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:34:33.031036+00:00,cell_001,147.25,15.25,3.51,0.42,24.28,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:35:33.031036+00:00,cell_001,148.82,15.02,3.44,0.32,31.16,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:36:33.031036+00:00,cell_001,153.83,14.27,3.3,0.69,27.36,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:37:33.031036+00:00,cell_001,148.84,12.88,3.0,0.45,23.24,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:38:33.031036+00:00,cell_001,152.1,15.1,3.44,0.16,35.39,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:39:33.031036+00:00,cell_001,147.07,12.2,3.59,0.54,32.83,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:40:33.031036+00:00,cell_001,149.23,14.32,3.22,0.56,26.04,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:41:33.031036+00:00,cell_001,146.98,14.65,3.22,0.22,35.14,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:42:33.031036+00:00,cell_001,148.79,14.2,3.62,0.27,41.19,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:43:33.031036+00:00,cell_001,152.3,16.83,3.89,0.31,31.14,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:44:33.031036+00:00,cell_001,144.58,16.48,3.66,0.73,23.73,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:45:33.031036+00:00,cell_001,151.04,15.69,3.45,0.44,29.17,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:46:33.031036+00:00,cell_001,150.43,13.74,3.31,0.01,21.0,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:47:33.031036+00:00,cell_001,147.91,16.59,3.37,0.21,30.13,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:48:33.031036+00:00,cell_001,145.32,15.29,2.99,0.6,28.84,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:49:33.031036+00:00,cell_001,149.85,13.73,3.34,0.37,34.71,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:50:33.031036+00:00,cell_001,148.02,14.71,3.72,0.21,27.84,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:51:33.031036+00:00,cell_001,150.28,15.64,3.4,0.38,35.34,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:52:33.031036+00:00,cell_001,149.62,14.08,3.2,0.65,26.89,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:53:33.031036+00:00,cell_001,154.33,14.83,3.17,0.89,30.34,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:54:33.031036+00:00,cell_001,148.78,15.01,3.38,0.44,23.94,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:55:33.031036+00:00,cell_001,146.4,13.59,3.02,0.55,25.66,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:56:33.031036+00:00,cell_001,149.98,14.43,3.12,0.44,34.96,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:57:33.031036+00:00,cell_001,150.07,13.67,3.85,0.5,36.43,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:58:33.031036+00:00,cell_001,153.46,15.57,3.08,0.27,27.84,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 01:59:33.031036+00:00,cell_001,151.85,13.8,3.15,0.74,33.75,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:00:33.031036+00:00,cell_001,150.39,15.0,3.48,0.36,35.09,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:01:33.031036+00:00,cell_001,153.68,13.33,3.26,0.24,25.89,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:02:33.031036+00:00,cell_001,145.69,13.59,3.42,0.3,33.53,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:03:33.031036+00:00,cell_001,147.3,13.54,3.66,0.59,31.38,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:04:33.031036+00:00,cell_001,146.41,14.44,2.94,0.32,33.11,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:05:33.031036+00:00,cell_001,147.98,14.91,3.63,0.76,30.79,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:06:33.031036+00:00,cell_001,144.99,15.1,3.23,0.59,20.79,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:07:33.031036+00:00,cell_001,150.99,12.97,3.32,0.63,32.32,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:08:33.031036+00:00,cell_001,148.38,14.58,3.98,0.37,30.7,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:09:33.031036+00:00,cell_001,144.6,14.0,2.99,0.33,29.91,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:10:33.031036+00:00,cell_001,145.93,15.29,3.58,0.46,23.41,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:11:33.031036+00:00,cell_001,149.88,14.49,3.75,0.22,36.67,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:12:33.031036+00:00,cell_001,151.41,14.68,3.21,0.55,31.92,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:13:33.031036+00:00,cell_001,154.85,14.02,3.21,0.64,21.65,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:14:33.031036+00:00,cell_001,157.56,16.5,3.3,0.32,38.61,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:15:33.031036+00:00,cell_001,150.03,13.49,3.21,0.6,33.99,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:16:33.031036+00:00,cell_001,145.77,14.38,3.44,0.51,36.51,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:17:33.031036+00:00,cell_001,142.31,14.9,3.69,0.68,30.47,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:18:33.031036+00:00,cell_001,149.47,14.54,3.31,0.79,31.94,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:19:33.031036+00:00,cell_001,146.18,14.03,3.7,0.62,37.38,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:20:33.031036+00:00,cell_001,147.33,12.99,3.84,0.45,34.29,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:21:33.031036+00:00,cell_001,146.7,14.12,3.55,0.7,31.47,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:22:33.031036+00:00,cell_001,148.07,13.85,3.58,0.47,29.03,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:23:33.031036+00:00,cell_001,151.65,16.5,3.25,0.41,19.46,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:24:33.031036+00:00,cell_001,148.88,17.09,2.64,0.34,36.89,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:25:33.031036+00:00,cell_001,147.89,14.78,3.61,0.48,37.1,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:26:33.031036+00:00,cell_001,145.21,13.43,3.67,0.66,36.17,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:27:33.031036+00:00,cell_001,143.25,15.58,3.51,0.26,38.2,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:28:33.031036+00:00,cell_001,146.77,13.87,3.71,0.21,27.92,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:29:33.031036+00:00,cell_001,148.02,14.3,3.27,0.22,30.88,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:30:33.031036+00:00,cell_001,153.44,14.23,3.59,0.67,30.29,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:31:33.031036+00:00,cell_001,148.48,14.36,3.88,0.54,22.94,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:32:33.031036+00:00,cell_001,150.99,14.52,3.64,0.76,29.8,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:33:33.031036+00:00,cell_001,146.49,13.56,3.85,0.36,33.69,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:34:33.031036+00:00,cell_001,144.39,14.18,3.85,0.22,38.14,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:35:33.031036+00:00,cell_001,145.0,15.91,3.08,0.78,35.56,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:36:33.031036+00:00,cell_001,145.67,14.86,3.66,0.32,29.88,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:37:33.031036+00:00,cell_001,154.18,15.03,3.26,0.6,37.87,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:38:33.031036+00:00,cell_001,145.28,12.67,3.12,0.2,34.69,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:39:33.031036+00:00,cell_001,150.21,15.86,3.37,0.5,25.06,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:40:33.031036+00:00,cell_001,144.93,14.23,3.98,0.43,34.33,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:41:33.031036+00:00,cell_001,150.38,16.05,3.29,0.18,37.42,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:42:33.031036+00:00,cell_001,148.69,15.09,2.93,0.85,36.23,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:43:33.031036+00:00,cell_001,147.01,14.38,3.03,0.29,27.76,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:44:33.031036+00:00,cell_001,147.3,13.27,3.61,0.28,28.99,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:45:33.031036+00:00,cell_001,145.41,17.13,3.24,0.34,44.13,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:46:33.031036+00:00,cell_001,148.66,15.76,2.85,0.03,29.32,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:47:33.031036+00:00,cell_001,145.9,15.83,3.05,0.4,34.21,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:48:33.031036+00:00,cell_001,143.53,16.79,3.52,0.34,21.38,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:49:33.031036+00:00,cell_001,143.32,15.2,3.71,0.67,40.63,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:50:33.031036+00:00,cell_001,147.61,16.34,3.34,0.53,38.09,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:51:33.031036+00:00,cell_001,151.77,14.52,3.67,0.22,42.85,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:52:33.031036+00:00,cell_001,147.46,15.74,3.75,0.34,29.02,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:53:33.031036+00:00,cell_001,146.57,14.38,3.25,0.9,40.46,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:54:33.031036+00:00,cell_001,147.72,14.51,3.45,0.29,29.23,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:55:33.031036+00:00,cell_001,150.72,15.12,3.3,0.64,42.25,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:56:33.031036+00:00,cell_001,147.4,13.76,3.65,0.34,22.52,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:57:33.031036+00:00,cell_001,145.45,15.37,3.31,0.27,39.87,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:58:33.031036+00:00,cell_001,149.94,14.73,3.13,0.36,34.91,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 02:59:33.031036+00:00,cell_001,147.85,13.06,3.51,0.77,38.21,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:00:33.031036+00:00,cell_001,151.11,14.6,3.83,0.18,37.7,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:01:33.031036+00:00,cell_001,146.99,14.72,3.65,0.61,37.24,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:02:33.031036+00:00,cell_001,142.71,15.93,3.8,0.72,47.2,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:03:33.031036+00:00,cell_001,142.21,15.37,3.78,0.36,44.32,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:04:33.031036+00:00,cell_001,151.21,16.54,3.52,0.67,38.11,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:05:33.031036+00:00,cell_001,151.36,15.62,3.33,0.64,36.36,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:06:33.031036+00:00,cell_001,145.59,14.55,3.25,0.31,42.83,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:07:33.031036+00:00,cell_001,144.91,15.06,3.04,0.29,43.27,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:08:33.031036+00:00,cell_001,150.38,14.77,3.87,0.45,36.15,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:09:33.031036+00:00,cell_001,142.61,15.62,3.42,0.5,35.99,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:10:33.031036+00:00,cell_001,143.18,15.2,3.01,0.4,30.97,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:11:33.031036+00:00,cell_001,147.73,14.52,3.89,0.59,37.42,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:12:33.031036+00:00,cell_001,144.55,15.16,3.55,0.32,37.04,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:13:33.031036+00:00,cell_001,145.65,15.62,3.82,0.3,40.94,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:14:33.031036+00:00,cell_001,145.11,14.17,3.45,0.48,45.16,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 03:15:33.031036+00:00,cell_001,146.54,15.5,3.29,0.53,42.37,False,batch,2026-08-11 23:58:34.403230+00:00
